,index,date,time,tweet,language,parse,Category
134,134,26/02/2022,23:33:05,"dear extraterrestrials nuclear starts im gonna need guys step save return welcome abduct toxic exes ""scientific purposes"" 😊",en,"dear extraterrestrials nuclear starts im gonna need guys step save return welcome abduct toxic exes ""scientific purposes"" 😊",_
135,135,26/02/2022,23:32:58,stand peace putinhitler,en,stand peace putinhitler,_
136,136,26/02/2022,23:32:48,⚠️ youre reading please turn geolocation phone using track gatherings tell around same⚠️ anonymous russianarmy please share every care important,en,⚠️ youre reading please turn geolocation phone using track gatherings tell around same⚠️ anonymous russianarmy please share every care important,_
137,137,26/02/2022,23:31:37,cjc123abc gr8 plan start,en,cjc123abc gr8 plan start,_
138,138,26/02/2022,23:31:04,cyber started anonymous,en,cyber started anonymous,_
139,139,26/02/2022,23:30:23,shit make emotion shit sad fuck rusia,en,shit make emotion shit sad fuck rusia,_
140,140,26/02/2022,23:29:58,india position point time cant even take anyones side takes might face sanctions takes usa ukraines side become enemy would worst stopwar,en,india position point time cant even take anyones side takes might face sanctions takes usa ukraines side become enemy would worst stopwar,_
141,141,26/02/2022,23:29:15,iansephton naval agree 💯 leading towards mass destructionthis syriya middle east europe history may repeat manner happened china yet enter start stop ✋un sec_council,en,iansephton naval agree 💯 leading towards mass destructionthis syriya middle east europe history may repeat manner happened china yet enter start stop ✋un sec_council,_
142,142,26/02/2022,23:28:42,usa agrees demands never happen,en,usa agrees demands never happen,_
143,143,26/02/2022,23:28:29,iuic starts god protect via youtube,en,iuic starts god protect via youtube,_
144,144,26/02/2022,23:28:08,ukrainian porn web cams must start,en,ukrainian porn web cams must start,_
