,index,date,time,tweet,language,parse,Category
2062,2062,26/02/2022,02:40:14,goodmorning tchaikovsky nutcracker,en,goodmorning tchaikovsky nutcracker,_
2063,2063,26/02/2022,02:39:49,update airindia flight 300 students takes romania reach mumbai 9pm ist safe evacuation indian ukrainecrisis russiaukrainecrisis,en,update airindia flight 300 students takes romania reach mumbai 9pm ist safe evacuation indian ukrainecrisis russiaukrainecrisis,_
2064,2064,26/02/2022,02:39:12,determining easily effectively manage growing business begins selecting right tools starting right point sale pos watch👇 nft kisumu county governor kasarani mendy martha karua dynasties masculinitysaturday bomas kenya,en,determining easily effectively manage growing business begins selecting right tools starting right point sale pos watch👇 nft kisumu county governor kasarani mendy martha karua dynasties masculinitysaturday bomas kenya,_
2065,2065,26/02/2022,02:38:56,buy gold gold historic hedge uncertainty kremlin,en,buy gold gold historic hedge uncertainty kremlin,_
2066,2066,26/02/2022,02:38:27,lose taliban style chechen muslim standing shoulder shoulder muslims game changers dont respect take care end left regrets,en,lose taliban style chechen muslim standing shoulder shoulder muslims game changers dont respect take care end left regrets,_
2067,2067,26/02/2022,02:37:47,hope underestimating russiaukrainecrisis covid19 look 2 years later🥺 stopwar hope,en,hope underestimating russiaukrainecrisis covid19 look 2 years later🥺 stopwar hope,_
2068,2068,26/02/2022,02:36:32,3 look end first day 600 million dead lucky ones kremlin,en,3 look end first day 600 million dead lucky ones kremlin,_
2069,2069,26/02/2022,02:35:48,dravidian dumeels mkstalin end namesake soviet dictator 😂🤣😂🤣 tamilnadu,en,dravidian dumeels mkstalin end namesake soviet dictator 😂🤣😂🤣 tamilnadu,_
2070,2070,26/02/2022,02:35:47,handy lab made virus documents equipment proved got destroyed right truckersforfreedom honkhonk unitedwestand convo freedomconvoy2022 quebec,en,handy lab made virus documents equipment proved got destroyed right truckersforfreedom honkhonk unitedwestand convo freedomconvoy2022 quebec,_
2071,2071,26/02/2022,02:35:44,minute half breakdown west much trouble,en,minute half breakdown west much trouble,_
2072,2072,26/02/2022,02:35:10,syria iraq afghanistan palestine kashmir etc,en,syria iraq afghanistan palestine kashmir etc,_
2073,2073,26/02/2022,02:34:05,honestly im kinda feeling nostalgic 80s vibe possibility apocalypse happening second,en,honestly im kinda feeling nostalgic 80s vibe possibility apocalypse happening second,_
2074,2074,26/02/2022,02:33:15,little girl got injured invasion tells vladimir hurting children pull back troops russianinvasion,en,little girl got injured invasion tells vladimir hurting children pull back troops russianinvasion,_
2075,2075,26/02/2022,02:33:10,germany fucking something germany german help,en,germany fucking something germany german help,_
2076,2076,26/02/2022,02:30:34,cant wait die,en,cant wait die,_
